ID_BIKE,NOMBRE,TIPO,TIEMPO
51,Falito,BMX,106
52,Hyacinthia,BMX,58
53,Mauricio,PLAYERA,74
54,Gayler,BMX,118
55,Warren,PLAYERA,119
56,Monique,PLAYERA,90
57,Kania,BMX,89
58,Damara,MTB,69
59,Ellerey,MTB,62
60,Sylvan,BMX,116
61,Shannon,PLAYERA,77
62,Avis,MTB,78
63,Herrick,PASEO,98
64,Rolph,PASEO,116
65,Kirbee,PLAYERA,59
66,Jimmie,PLAYERA,95
67,Buddie,PLAYERA,96
68,Jobie,MTB,69
69,Lothario,PLAYERA,110
70,Jenda,PASEO,81
71,Lynea,PASEO,115
72,Henriette,PASEO,100
73,Giorgio,PASEO,108
74,Karrah,PASEO,90
75,Blayne,BMX,60
76,Becki,BMX,103
77,Zorine,BMX,93
78,Fern,BMX,82
79,Kalila,MTB,105
80,Celle,PASEO,92
81,Auberta,PLAYERA,104
82,Lisa,PASEO,85
83,Adams,PLAYERA,119
84,Shea,PASEO,69
85,Laurens,PASEO,89
86,Alla,PLAYERA,60
87,Izabel,PASEO,95
88,Spenser,BMX,79
89,Rollins,MTB,57
90,Sol,PLAYERA,67
91,Buiron,MTB,101
92,Keri,BMX,115
93,Richmound,MTB,97
94,Dorree,MTB,90
95,Essie,PLAYERA,105
96,Torie,PASEO,65
97,Christi,MTB,58
98,Sancho,BMX,92
99,Somerset,PASEO,116
100,Violet,BMX,96
